"lastTradeDate","Type","ask","bid","change","contractSize","contractSymbol","currency","expiration","impliedVolatility","inTheMoney","lastPrice","openInterest","percentChange","strike","volume","tic","Date","Expiration","tau","mid","Spot"
2023-03-22,"calls",0.25,0.18,0.11000001,"REGULAR","IEF230324C00100000","USD",2023-03-24,0.180672255859375,FALSE,0.18,237,157.14287,100,6,"IEF","2023-03-22",2023-03-24,0.00793650793650794,0.215,99.290001
2023-03-20,"calls",0.15,0.08,0,"REGULAR","IEF230324C00100500","USD",2023-03-24,0.18946123046875,FALSE,0.25,19,0,100.5,9,"IEF","2023-03-20",2023-03-24,0.0158730158730159,0.115,98.860001
2023-03-20,"calls",0.09,0.02,0,"REGULAR","IEF230324C00101000","USD",2023-03-24,0.1992267578125,FALSE,0.16,46,0,101,2,"IEF","2023-03-20",2023-03-24,0.0158730158730159,0.055,98.860001
2023-03-20,"calls",0.07,0,0,"REGULAR","IEF230324C00101500","USD",2023-03-24,0.2226640234375,FALSE,0.11,21,0,101.5,10,"IEF","2023-03-20",2023-03-24,0.0158730158730159,0.035,98.860001
2023-03-17,"calls",0.06,0,0,"REGULAR","IEF230324C00102000","USD",2023-03-24,0.2500075,FALSE,0.18,33,0,102,21,"IEF","2023-03-17",2023-03-24,0.0277777777777778,0.03,99.260002
2023-03-15,"calls",0.1,0,0,"REGULAR","IEF230324C00103000","USD",2023-03-24,0.356451748046875,FALSE,0.41,60,0,103,NA,"IEF","2023-03-15",2023-03-24,0.0357142857142857,0.05,98.989998
2023-03-20,"calls",0.1,0,0,"REGULAR","IEF230324C00104000","USD",2023-03-24,0.4257869921875,FALSE,0.1,0,0,104,1,"IEF","2023-03-20",2023-03-24,0.0158730158730159,0.05,98.860001
2023-03-16,"calls",0.1,0,0,"REGULAR","IEF230324C00105000","USD",2023-03-24,0.492192578125,FALSE,0.1,15,0,105,NA,"IEF","2023-03-16",2023-03-24,0.0317460317460317,0.05,98.099998
2023-03-10,"calls",6.5,6.3,0,"REGULAR","IEF230331C00093000","USD",2023-03-31,0.3164130859375,TRUE,4.35,1,0,93,NA,"IEF","2023-03-10",2023-03-31,0.0833333333333333,6.4,97.330002
2023-03-01,"calls",5.5,5.3,0,"REGULAR","IEF230331C00094000","USD",2023-03-31,0.2773509765625,TRUE,1.83,1,0,94,7,"IEF","2023-03-01",2023-03-31,0.119047619047619,5.4,94.800003
2023-03-02,"calls",5,4.8,0,"REGULAR","IEF230331C00094500","USD",2023-03-31,0.257819921875,TRUE,1.17,7,0,94.5,NA,"IEF","2023-03-02",2023-03-31,0.115079365079365,4.9,94.410004
2023-03-13,"calls",4.5,4.3,0,"REGULAR","IEF230331C00095000","USD",2023-03-31,0.237312314453125,TRUE,3.8,2,0,95,1,"IEF","2023-03-13",2023-03-31,0.0714285714285714,4.4,98.510002
2023-03-13,"calls",3.55,3.3,0,"REGULAR","IEF230331C00096000","USD",2023-03-31,0.210945390625,TRUE,3.45,2,0,96,1,"IEF","2023-03-13",2023-03-31,0.0714285714285714,3.425,98.510002
2023-03-13,"calls",3.05,2.85,0,"REGULAR","IEF230331C00096500","USD",2023-03-31,0.188484677734375,TRUE,2.9,4,0,96.5,1,"IEF","2023-03-13",2023-03-31,0.0714285714285714,2.95,98.510002
2023-03-22,"calls",2.59,2.44,-0.35000002,"REGULAR","IEF230331C00097000","USD",2023-03-31,0.1757894921875,TRUE,1.31,15,-21.08434,97,10,"IEF","2023-03-22",2023-03-31,0.0357142857142857,2.515,99.290001
2023-03-22,"calls",2.14,2.01,-0.45000005,"REGULAR","IEF230331C00097500","USD",2023-03-31,0.16211775390625,TRUE,1.05,216,-30.000004,97.5,60,"IEF","2023-03-22",2023-03-31,0.0357142857142857,2.075,99.290001
2023-03-22,"calls",1.74,1.61,0,"REGULAR","IEF230331C00098000","USD",2023-03-31,0.155281884765625,TRUE,0.89,25,0,98,31,"IEF","2023-03-22",2023-03-31,0.0357142857142857,1.675,99.290001
2023-03-21,"calls",1.38,1.26,0.43,"REGULAR","IEF230331C00098500","USD",2023-03-31,0.15039912109375,TRUE,1.1,215,64.17911,98.5,3,"IEF","2023-03-21",2023-03-31,0.0396825396825397,1.32,98
2023-03-22,"calls",1.06,0.95,0.43,"REGULAR","IEF230331C00099000","USD",2023-03-31,0.146004633789062,TRUE,0.88,414,95.555565,99,23,"IEF","2023-03-22",2023-03-31,0.0357142857142857,1.005,99.290001
2023-03-22,"calls",0.8,0.7,0.33,"REGULAR","IEF230331C00099500","USD",2023-03-31,0.144783942871094,FALSE,0.66,323,100,99.5,13,"IEF","2023-03-22",2023-03-31,0.0357142857142857,0.75,99.290001
2023-03-22,"calls",0.59,0.5,0.19999999,"REGULAR","IEF230331C00100000","USD",2023-03-31,0.144295666503906,FALSE,0.42,270,90.90909,100,53,"IEF","2023-03-22",2023-03-31,0.0357142857142857,0.545,99.290001
2023-03-21,"calls",0.43,0.36,0,"REGULAR","IEF230331C00100500","USD",2023-03-31,0.145516357421875,FALSE,0.29,25,0,100.5,21,"IEF","2023-03-21",2023-03-31,0.0396825396825397,0.395,98
2023-03-22,"calls",0.3,0.25,0.14,"REGULAR","IEF230331C00101000","USD",2023-03-31,0.145028081054688,FALSE,0.25,277,127.27273,101,20,"IEF","2023-03-22",2023-03-31,0.0357142857142857,0.275,99.290001
2023-03-21,"calls",0.22,0.16,0,"REGULAR","IEF230331C00101500","USD",2023-03-31,0.149422568359375,FALSE,0.15,0,0,101.5,14,"IEF","2023-03-21",2023-03-31,0.0396825396825397,0.19,98
2023-03-21,"calls",0.15,0.1,0,"REGULAR","IEF230331C00102000","USD",2023-03-31,0.15039912109375,FALSE,0.12,15,0,102,1,"IEF","2023-03-21",2023-03-31,0.0396825396825397,0.125,98
2023-03-21,"calls",0.09,0.03,0,"REGULAR","IEF230331C00103000","USD",2023-03-31,0.164070859375,FALSE,0.04,53,0,103,30,"IEF","2023-03-21",2023-03-31,0.0396825396825397,0.06,98
2023-03-17,"calls",0.1,0,0,"REGULAR","IEF230331C00104000","USD",2023-03-31,0.200203310546875,FALSE,0.13,0,0,104,52,"IEF","2023-03-17",2023-03-31,0.0555555555555556,0.05,99.260002
2023-03-15,"calls",0.1,0,0,"REGULAR","IEF230331C00105000","USD",2023-03-31,0.231452998046875,FALSE,0.15,8,0,105,NA,"IEF","2023-03-15",2023-03-31,0.0634920634920635,0.05,98.989998
2023-02-09,"calls",5.05,4.6,0,"REGULAR","IEF230421C00093000","USD",2023-04-21,1e-05,TRUE,5.45,2,0,93,2,"IEF","2023-02-09",2023-04-21,0.281746031746032,4.825,97.230583
2023-03-21,"calls",5.7,5.45,0,"REGULAR","IEF230421C00094000","USD",2023-04-21,0.186287434082031,TRUE,4.5,11,0,94,5,"IEF","2023-03-21",2023-04-21,0.123015873015873,5.575,98
2023-03-10,"calls",4.75,4.5,0,"REGULAR","IEF230421C00095000","USD",2023-04-21,0.168465346679688,TRUE,2.9,77,0,95,1,"IEF","2023-03-10",2023-04-21,0.166666666666667,4.625,97.330002
2023-03-21,"calls",3.85,3.65,0,"REGULAR","IEF230421C00096000","USD",2023-04-21,0.154793608398438,TRUE,2.8,85,0,96,1,"IEF","2023-03-21",2023-04-21,0.123015873015873,3.75,98
2023-03-22,"calls",3.05,2.81,-0.38999987,"REGULAR","IEF230421C00097000","USD",2023-04-21,0.147713601074219,TRUE,2.66,104,-12.786881,97,1,"IEF","2023-03-22",2023-04-21,0.119047619047619,2.93,99.290001
2023-03-22,"calls",2.28,2.12,0.49,"REGULAR","IEF230421C00098000","USD",2023-04-21,0.137459797363281,TRUE,1.86,598,35.766422,98,151,"IEF","2023-03-22",2023-04-21,0.119047619047619,2.2,99.290001
2023-03-22,"calls",1.66,1.52,0.00999999,"REGULAR","IEF230421C00099000","USD",2023-04-21,0.133187379150391,TRUE,1.06,931,0.95238006,99,2,"IEF","2023-03-22",2023-04-21,0.119047619047619,1.59,99.290001
2023-03-22,"calls",1.16,1.09,0.46000004,"REGULAR","IEF230421C00100000","USD",2023-04-21,0.130623928222656,FALSE,1.08,15798,74.19356,100,1533,"IEF","2023-03-22",2023-04-21,0.119047619047619,1.125,99.290001
2023-03-22,"calls",0.82,0.73,0.00999999,"REGULAR","IEF230421C00101000","USD",2023-04-21,0.133065310058594,FALSE,0.39,4237,2.6315765,101,1,"IEF","2023-03-22",2023-04-21,0.119047619047619,0.775,99.290001
2023-03-22,"calls",0.56,0.49,0.09,"REGULAR","IEF230421C00102000","USD",2023-04-21,0.135018415527344,FALSE,0.35,809,34.615387,102,2,"IEF","2023-03-22",2023-04-21,0.119047619047619,0.525,99.290001
2023-03-22,"calls",0.38,0.32,0.02000001,"REGULAR","IEF230421C00103000","USD",2023-04-21,0.137703935546875,FALSE,0.18,18972,12.500008,103,1,"IEF","2023-03-22",2023-04-21,0.119047619047619,0.35,99.290001
2023-03-21,"calls",0.26,0.21,0,"REGULAR","IEF230421C00104000","USD",2023-04-21,0.141610146484375,FALSE,0.14,107,0,104,1,"IEF","2023-03-21",2023-04-21,0.123015873015873,0.235,98
2023-03-22,"calls",0.18,0.13,-0.009999998,"REGULAR","IEF230421C00105000","USD",2023-04-21,0.146004633789062,FALSE,0.07,16,-12.499998,105,1,"IEF","2023-03-22",2023-04-21,0.119047619047619,0.155,99.290001
2023-03-22,"calls",0.14,0.09,0,"REGULAR","IEF230421C00106000","USD",2023-04-21,0.15430533203125,FALSE,0.06,24,0,106,10,"IEF","2023-03-22",2023-04-21,0.119047619047619,0.115,99.290001
2023-02-02,"calls",0.1,0,0,"REGULAR","IEF230421C00107000","USD",2023-04-21,0.159188095703125,FALSE,0.09,0,0,107,10,"IEF","2023-02-02",2023-04-21,0.30952380952381,0.05,99.465996
2023-03-16,"calls",0.1,0.03,0,"REGULAR","IEF230421C00108000","USD",2023-04-21,0.174812939453125,FALSE,0.06,1,0,108,NA,"IEF","2023-03-16",2023-04-21,0.142857142857143,0.065,98.099998
2023-01-23,"calls",0.1,0,0,"REGULAR","IEF230421C00109000","USD",2023-04-21,0.189949506835938,FALSE,0.11,10,0,109,NA,"IEF","2023-01-23",2023-04-21,0.349206349206349,0.05,98.436882
2023-03-22,"calls",0.1,0.01,0.010000002,"REGULAR","IEF230421C00110000","USD",2023-04-21,0.204597797851562,FALSE,0.05,20,25.000006,110,7500,"IEF","2023-03-22",2023-04-21,0.119047619047619,0.055,99.290001
2023-03-13,"calls",0.1,0,0,"REGULAR","IEF230421C00120000","USD",2023-04-21,0.33789724609375,FALSE,0.06,0,0,120,NA,"IEF","2023-03-13",2023-04-21,0.154761904761905,0.05,98.510002
2023-03-17,"calls",5.15,4.85,0,"REGULAR","IEF230519C00095000","USD",2023-05-19,0.156990852050781,TRUE,5.25,9,0,95,2,"IEF","2023-03-17",2023-05-19,0.25,5,99.260002
2023-03-17,"calls",4.3,4.05,0,"REGULAR","IEF230519C00096000","USD",2023-05-19,0.147347393798828,TRUE,4.6,3,0,96,2,"IEF","2023-03-17",2023-05-19,0.25,4.175,99.260002
2023-03-21,"calls",3.55,3.3,0,"REGULAR","IEF230519C00097000","USD",2023-05-19,0.142098422851562,TRUE,2.82,52,0,97,22,"IEF","2023-03-21",2023-05-19,0.234126984126984,3.425,98
2023-03-21,"calls",2.82,2.66,0,"REGULAR","IEF230519C00098000","USD",2023-05-19,0.134652208251953,TRUE,2.09,63,0,98,4,"IEF","2023-03-21",2023-05-19,0.234126984126984,2.74,98
2023-03-22,"calls",2.23,2.04,-0.110000014,"REGULAR","IEF230519C00099000","USD",2023-05-19,0.131966688232422,TRUE,1.54,1,-6.666668,99,1,"IEF","2023-03-22",2023-05-19,0.23015873015873,2.135,99.290001
2023-03-22,"calls",1.72,1.6,-0.19999993,"REGULAR","IEF230519C00100000","USD",2023-05-19,0.129647375488281,FALSE,1.36,51,-12.820509,100,25,"IEF","2023-03-22",2023-05-19,0.23015873015873,1.66,99.290001
2023-03-22,"calls",1.29,1.18,-0.029999971,"REGULAR","IEF230519C00101000","USD",2023-05-19,0.127572200927734,FALSE,0.85,213,-3.4090877,101,3,"IEF","2023-03-22",2023-05-19,0.23015873015873,1.235,99.290001
2023-03-22,"calls",0.97,0.9,0.030000031,"REGULAR","IEF230519C00102000","USD",2023-05-19,0.127816339111328,FALSE,0.61,0,5.172419,102,1,"IEF","2023-03-22",2023-05-19,0.23015873015873,0.935,99.290001
2023-03-16,"calls",0.73,0.64,0,"REGULAR","IEF230519C00103000","USD",2023-05-19,0.129281168212891,FALSE,0.52,1271,0,103,875,"IEF","2023-03-16",2023-05-19,0.253968253968254,0.685,98.099998
2023-03-22,"calls",0.54,0.45,0.099999994,"REGULAR","IEF230519C00104000","USD",2023-05-19,0.130501859130859,FALSE,0.38,18897,35.714283,104,1500,"IEF","2023-03-22",2023-05-19,0.23015873015873,0.495,99.290001
2023-03-22,"calls",0.4,0.34,-0.19,"REGULAR","IEF230519C00105000","USD",2023-05-19,0.132332895507813,FALSE,0.3,6,-38.77551,105,11,"IEF","2023-03-22",2023-05-19,0.23015873015873,0.37,99.290001
2023-03-17,"calls",0.12,0.07,0,"REGULAR","IEF230519C00110000","USD",2023-05-19,0.1523522265625,FALSE,0.13,10,0,110,10,"IEF","2023-03-17",2023-05-19,0.25,0.095,99.260002
2022-06-13,"calls",25.45,23.6,0,"REGULAR","IEF230616C00080000","USD",2023-06-16,0.73242455078125,TRUE,19.5,1,0,80,1,"IEF","2022-06-13",2023-06-16,1.46031746031746,24.525,97.246323
2023-02-28,"calls",14.9,14.55,0,"REGULAR","IEF230616C00085000","USD",2023-06-16,0.260017165527344,TRUE,11.05,0,0,85,11,"IEF","2023-02-28",2023-06-16,0.428571428571429,14.725,95.564003
2022-12-09,"calls",12.8,9,0,"REGULAR","IEF230616C00088000","USD",2023-06-16,0.296637893066406,TRUE,11.7,2,0,88,3,"IEF","2022-12-09",2023-06-16,0.75,10.9,97.251808
2022-11-30,"calls",8.8,7.85,0,"REGULAR","IEF230616C00089000","USD",2023-06-16,1e-05,TRUE,8.97,2,0,89,2,"IEF","2022-11-30",2023-06-16,0.785714285714286,8.325,96.820457
2023-03-13,"calls",10.05,9.7,0,"REGULAR","IEF230616C00090000","USD",2023-06-16,0.201057794189453,TRUE,9.6,33,0,90,4,"IEF","2023-03-13",2023-06-16,0.376984126984127,9.875,98.510002
2023-02-08,"calls",6.55,6.15,0,"REGULAR","IEF230616C00092000","USD",2023-06-16,1e-05,TRUE,6.65,1,0,92,NA,"IEF","2023-02-08",2023-06-16,0.507936507936508,6.35,97.669685
2023-02-17,"calls",7.45,7,0,"REGULAR","IEF230616C00093000","USD",2023-06-16,0.183968121337891,TRUE,4.52,0,0,93,1,"IEF","2023-02-17",2023-06-16,0.472222222222222,7.225,96.212677
2023-03-15,"calls",6.35,6.1,0,"REGULAR","IEF230616C00094000","USD",2023-06-16,0.159676372070312,TRUE,5.96,87,0,94,7,"IEF","2023-03-15",2023-06-16,0.369047619047619,6.225,98.989998
2023-03-22,"calls",5.5,5.25,-1.2400002,"REGULAR","IEF230616C00095000","USD",2023-06-16,0.151863950195313,TRUE,4.2,1628,-22.79412,95,228,"IEF","2023-03-22",2023-06-16,0.341269841269841,5.375,99.290001
2023-03-16,"calls",4.7,4.45,0,"REGULAR","IEF230616C00096000","USD",2023-06-16,0.145272219238281,TRUE,4.66,45,0,96,15,"IEF","2023-03-16",2023-06-16,0.365079365079365,4.575,98.099998
2023-03-22,"calls",3.95,3.7,-0.59000015,"REGULAR","IEF230616C00097000","USD",2023-06-16,0.139290833740234,TRUE,3.5,222,-14.425431,97,20,"IEF","2023-03-22",2023-06-16,0.341269841269841,3.825,99.290001
2023-03-22,"calls",3.3,3.05,0.8100002,"REGULAR","IEF230616C00098000","USD",2023-06-16,0.136239106445313,TRUE,3.17,117,34.322044,98,3,"IEF","2023-03-22",2023-06-16,0.341269841269841,3.175,99.290001
2023-03-22,"calls",2.7,2.5,0.47000015,"REGULAR","IEF230616C00099000","USD",2023-06-16,0.132943240966797,TRUE,2.4,462,24.35234,99,101,"IEF","2023-03-22",2023-06-16,0.341269841269841,2.6,99.290001
2023-03-21,"calls",2.17,1.99,0,"REGULAR","IEF230616C00100000","USD",2023-06-16,0.130013582763672,FALSE,1.61,8624,0,100,9,"IEF","2023-03-21",2023-06-16,0.345238095238095,2.08,98
2023-03-22,"calls",1.72,1.57,-0.96000004,"REGULAR","IEF230616C00101000","USD",2023-06-16,0.127938408203125,FALSE,1.03,395,-48.241207,101,13,"IEF","2023-03-22",2023-06-16,0.341269841269841,1.645,99.290001
2023-03-20,"calls",1.36,1.25,0,"REGULAR","IEF230616C00102000","USD",2023-06-16,0.127450131835938,FALSE,1.31,516,0,102,34,"IEF","2023-03-20",2023-06-16,0.349206349206349,1.305,98.860001
2023-03-22,"calls",1.05,0.94,-0.41999996,"REGULAR","IEF230616C00103000","USD",2023-06-16,0.126351510009766,FALSE,0.63,0,-39.999996,103,1,"IEF","2023-03-22",2023-06-16,0.341269841269841,0.995,99.290001
2023-03-16,"calls",0.82,0.71,0,"REGULAR","IEF230616C00104000","USD",2023-06-16,0.127083924560547,FALSE,0.6,232,0,104,26,"IEF","2023-03-16",2023-06-16,0.365079365079365,0.765,98.099998
2023-03-22,"calls",0.64,0.55,-0.00999999,"REGULAR","IEF230616C00105000","USD",2023-06-16,0.128182546386719,FALSE,0.37,1417,-2.6315765,105,8,"IEF","2023-03-22",2023-06-16,0.341269841269841,0.595,99.290001
2023-03-13,"calls",0.49,0.4,0,"REGULAR","IEF230616C00106000","USD",2023-06-16,0.1289149609375,FALSE,0.55,51,0,106,2,"IEF","2023-03-13",2023-06-16,0.376984126984127,0.445,98.510002
2023-03-20,"calls",0.39,0.31,0,"REGULAR","IEF230616C00107000","USD",2023-06-16,0.131356342773437,FALSE,0.44,61,0,107,3,"IEF","2023-03-20",2023-06-16,0.349206349206349,0.35,98.860001
2023-03-22,"calls",0.31,0.23,-0.14,"REGULAR","IEF230616C00108000","USD",2023-06-16,0.133797724609375,FALSE,0.21,134,-40,108,2,"IEF","2023-03-22",2023-06-16,0.341269841269841,0.27,99.290001
2023-03-22,"calls",0.26,0.19,0.02000001,"REGULAR","IEF230616C00109000","USD",2023-06-16,0.137948073730469,FALSE,0.15,88,15.3846245,109,1,"IEF","2023-03-22",2023-06-16,0.341269841269841,0.225,99.290001
2023-03-21,"calls",0.21,0.14,0,"REGULAR","IEF230616C00110000","USD",2023-06-16,0.140877731933594,FALSE,0.1,0,0,110,28,"IEF","2023-03-21",2023-06-16,0.345238095238095,0.175,98
2023-03-15,"calls",0.17,0.11,0,"REGULAR","IEF230616C00111000","USD",2023-06-16,0.143563251953125,FALSE,0.47,64,0,111,44,"IEF","2023-03-15",2023-06-16,0.369047619047619,0.14,98.989998
2023-03-21,"calls",0.13,0.08,0,"REGULAR","IEF230616C00112000","USD",2023-06-16,0.1445398046875,FALSE,0.06,85,0,112,1,"IEF","2023-03-21",2023-06-16,0.345238095238095,0.105,98
2023-03-16,"calls",0.12,0.06,0,"REGULAR","IEF230616C00113000","USD",2023-06-16,0.150887397460938,FALSE,0.17,518,0,113,6,"IEF","2023-03-16",2023-06-16,0.365079365079365,0.09,98.099998
2023-01-24,"calls",0.1,0,0,"REGULAR","IEF230616C00114000","USD",2023-06-16,0.153817055664063,FALSE,0.08,20,0,114,10,"IEF","2023-01-24",2023-06-16,0.567460317460317,0.05,99.004494
2023-03-17,"calls",0.1,0.03,0,"REGULAR","IEF230616C00115000","USD",2023-06-16,0.161629477539062,FALSE,0.11,275,0,115,16,"IEF","2023-03-17",2023-06-16,0.361111111111111,0.065,99.260002
2022-09-29,"calls",0.24,0.1,0,"REGULAR","IEF230616C00116000","USD",2023-06-16,0.199715034179688,FALSE,0.31,14,0,116,9,"IEF","2022-09-29",2023-06-16,1.03174603174603,0.17,95.070717
2023-03-13,"calls",0.1,0.01,0,"REGULAR","IEF230616C00117000","USD",2023-06-16,0.177254321289062,FALSE,0.16,1,0,117,NA,"IEF","2023-03-13",2023-06-16,0.376984126984127,0.055,98.510002
2023-03-17,"calls",0.1,0.03,0,"REGULAR","IEF230616C00118000","USD",2023-06-16,0.184578466796875,FALSE,0.08,54,0,118,3,"IEF","2023-03-17",2023-06-16,0.361111111111111,0.065,99.260002
2022-03-29,"calls",0.86,0.45,0,"REGULAR","IEF230616C00119000","USD",2023-06-16,0.305060660400391,FALSE,1.3,27,0,119,15,"IEF","2022-03-29",2023-06-16,1.76190476190476,0.655,104.644333
2023-03-13,"calls",0.1,0,0,"REGULAR","IEF230616C00120000","USD",2023-06-16,0.1992267578125,FALSE,0.01,210,0,120,68,"IEF","2023-03-13",2023-06-16,0.376984126984127,0.05,98.510002
2022-06-28,"calls",0,0,0,"REGULAR","IEF230616C00121000","USD",2023-06-16,0.12500875,FALSE,0.34,1,0,121,2,"IEF","2022-06-28",2023-06-16,1.40079365079365,0,98.986023
2022-11-28,"calls",0.1,0,0,"REGULAR","IEF230616C00125000","USD",2023-06-16,0.23438265625,FALSE,0.01,16,0,125,11,"IEF","2022-11-28",2023-06-16,0.793650793650794,0.05,96.364182
2023-02-21,"calls",0.1,0,0,"REGULAR","IEF230616C00130000","USD",2023-06-16,0.266608896484375,FALSE,0.01,0,0,130,1,"IEF","2023-02-21",2023-06-16,0.456349206349206,0.05,95.164818
2022-11-28,"calls",0.1,0,0,"REGULAR","IEF230616C00135000","USD",2023-06-16,0.297858583984375,FALSE,0.02,11,0,135,1,"IEF","2022-11-28",2023-06-16,0.793650793650794,0.05,96.364182
2022-04-06,"calls",0.18,0.04,0,"REGULAR","IEF230616C00155000","USD",2023-06-16,0.440923559570312,FALSE,0.07,1,0,155,1,"IEF","2022-04-06",2023-06-16,1.73015873015873,0.11,102.889595
2022-09-26,"calls",0.1,0,0,"REGULAR","IEF230616C00170000","USD",2023-06-16,0.475591181640625,FALSE,0.06,310,0,170,NA,"IEF","2022-09-26",2023-06-16,1.04365079365079,0.05,94.053223
2023-03-09,"calls",14.6,13.95,0,"REGULAR","IEF230915C00086000","USD",2023-09-15,0.219001950683594,TRUE,11.1,23,0,86,NA,"IEF","2023-03-09",2023-09-15,0.753968253968254,14.275,95.57
2023-03-16,"calls",12.7,12.05,0,"REGULAR","IEF230915C00088000","USD",2023-09-15,0.201057794189453,TRUE,12.25,24,0,88,1,"IEF","2023-03-16",2023-09-15,0.726190476190476,12.375,98.099998
2023-03-16,"calls",9.95,9.3,0,"REGULAR","IEF230915C00091000","USD",2023-09-15,0.177254321289062,TRUE,9.57,1,0,91,2,"IEF","2023-03-16",2023-09-15,0.726190476190476,9.625,98.099998
2023-03-20,"calls",8.1,7.6,0,"REGULAR","IEF230915C00093000","USD",2023-09-15,0.158455681152344,TRUE,7.85,12,0,93,6,"IEF","2023-03-20",2023-09-15,0.71031746031746,7.85,98.860001
2023-03-10,"calls",7.3,6.8,0,"REGULAR","IEF230915C00094000","USD",2023-09-15,0.153694986572266,TRUE,5.54,1,0,94,3,"IEF","2023-03-10",2023-09-15,0.75,7.05,97.330002
2023-03-16,"calls",6.5,6,0,"REGULAR","IEF230915C00095000","USD",2023-09-15,0.147957739257813,TRUE,6.97,17,0,95,1,"IEF","2023-03-16",2023-09-15,0.726190476190476,6.25,98.099998
2023-03-17,"calls",5.75,5.4,0,"REGULAR","IEF230915C00096000","USD",2023-09-15,0.143197044677734,TRUE,5.4,4,0,96,1,"IEF","2023-03-17",2023-09-15,0.722222222222222,5.575,99.260002
2023-02-21,"calls",4.95,4.7,0,"REGULAR","IEF230915C00097000","USD",2023-09-15,0.135384622802734,TRUE,2.5,50,0,97,45,"IEF","2023-02-21",2023-09-15,0.817460317460317,4.825,95.164818
2023-03-14,"calls",4.35,4.05,0.46000004,"REGULAR","IEF230915C00098000","USD",2023-09-15,0.133858759155273,TRUE,3.9,24,13.372093,98,5,"IEF","2023-03-14",2023-09-15,0.734126984126984,4.2,97.580002
2023-03-22,"calls",3.75,3.45,-0.29999995,"REGULAR","IEF230915C00099000","USD",2023-09-15,0.130745997314453,TRUE,3.65,34,-7.5949354,99,9,"IEF","2023-03-22",2023-09-15,0.702380952380952,3.6,99.290001
2023-03-22,"calls",3.2,2.9,-0.29999995,"REGULAR","IEF230915C00100000","USD",2023-09-15,0.127999442749023,FALSE,2.9,235,-9.374998,100,2,"IEF","2023-03-22",2023-09-15,0.702380952380952,3.05,99.290001
2023-03-21,"calls",2.75,2.42,0,"REGULAR","IEF230915C00101000","USD",2023-09-15,0.127205993652344,FALSE,2.04,71,0,101,3,"IEF","2023-03-21",2023-09-15,0.706349206349206,2.585,98
2023-03-22,"calls",2.3,2.02,-0.37000012,"REGULAR","IEF230915C00102000","USD",2023-09-15,0.124764611816406,FALSE,2.03,0,-15.416672,102,1,"IEF","2023-03-22",2023-09-15,0.702380952380952,2.16,99.290001
2023-03-22,"calls",1.94,1.69,-0.5,"REGULAR","IEF230915C00103000","USD",2023-09-15,0.124032197265625,FALSE,1.32,46,-27.472527,103,2,"IEF","2023-03-22",2023-09-15,0.702380952380952,1.815,99.290001
2023-02-27,"calls",1.64,1.41,0,"REGULAR","IEF230915C00104000","USD",2023-09-15,0.124032197265625,FALSE,0.43,1,0,104,NA,"IEF","2023-02-27",2023-09-15,0.793650793650794,1.525,95.414307
